date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:41:15	484/484	U-----	200	untouched ('OK')	text/css	etag:%221e4-61ff721c5ea36%22	https://www.dhs.gov/themes/contrib/stable/css/system/components/align.module.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/themes/contrib/stable/css/system/components/align.module19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:41:15	95/95	U-----	200	untouched ('OK')	text/css	etag:%225f-61f5db4567928%22	https://www.dhs.gov/themes/contrib/stable/css/system/components/fieldgroup.module.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/themes/contrib/stable/css/system/components/fieldgroup.module19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:42:03	306/306	U-----	200	untouched ('OK')	text/css	etag:%22132-61ffa63ec007c%22	https://www.dhs.gov/themes/contrib/stable/css/system/components/clearfix.module.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/themes/contrib/stable/css/system/components/clearfix.module19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:42:06	222/222	U-----	200	untouched ('OK')	text/css	etag:%22de-61ff7da70349a%22	https://www.dhs.gov/themes/contrib/stable/css/system/components/container-inline.module.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/themes/contrib/stable/css/system/components/container-inline.module19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:42:06	104/104	U-----	200	untouched ('OK')	text/css	etag:%2268-61f5db4567928%22	https://www.dhs.gov/themes/contrib/stable/css/system/components/details.module.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/themes/contrib/stable/css/system/components/details.module19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:42:07	1359/1359	U-----	200	untouched ('OK')	text/css	etag:%2254f-61f5db4567d10%22	https://www.dhs.gov/themes/contrib/stable/css/system/components/hidden.module.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/themes/contrib/stable/css/system/components/hidden.module19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:42:55	285/285	U-----	200	untouched ('OK')	text/css	etag:%2211d-61f5db4567d10%22	https://www.dhs.gov/themes/contrib/stable/css/system/components/item-list.module.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/themes/contrib/stable/css/system/components/item-list.module19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:42:55	402/402	U-----	200	untouched ('OK')	text/css	etag:%22192-61f5db4567d10%22	https://www.dhs.gov/themes/contrib/stable/css/system/components/js.module.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/themes/contrib/stable/css/system/components/js.module19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:42:55	96/96	U-----	200	untouched ('OK')	text/css	etag:%2260-61f5db4567d10%22	https://www.dhs.gov/themes/contrib/stable/css/system/components/nowrap.module.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/themes/contrib/stable/css/system/components/nowrap.module19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:42:56	95/95	U-----	200	untouched ('OK')	text/css	etag:%225f-61f5db4567d10%22	https://www.dhs.gov/themes/contrib/stable/css/system/components/position-container.module.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/themes/contrib/stable/css/system/components/position-container.module19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:43:47	274/274	U-----	200	untouched ('OK')	text/css	etag:%22112-61ff62b8b3ec9%22	https://www.dhs.gov/themes/contrib/stable/css/system/components/reset-appearance.module.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/themes/contrib/stable/css/system/components/reset-appearance.module19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:43:47	270/270	U-----	200	untouched ('OK')	text/css	etag:%2210e-61ff7da70349a%22	https://www.dhs.gov/themes/contrib/stable/css/system/components/resize.module.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/themes/contrib/stable/css/system/components/resize.module19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:43:47	742/742	U-----	200	untouched ('OK')	text/css	etag:%222e6-61ff7da70349a%22	https://www.dhs.gov/themes/contrib/stable/css/system/components/system-status-counter.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/themes/contrib/stable/css/system/components/system-status-counter19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:43:48	557/557	U-----	200	untouched ('OK')	text/css	etag:%2222d-61f5db4567d10%22	https://www.dhs.gov/themes/contrib/stable/css/system/components/system-status-report-counters.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/themes/contrib/stable/css/system/components/system-status-report-counters19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
